日付,店番,店舗名,受領フラグ,受領時間,ドライバー名,完了時間,納品予定数,納品数,不足数
2021/12/30,51,浦和太田窪店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,82,0,0
2021/12/30,184,川越的場店,0,0000-00-00 00:00:00,麻妃ライン　星野　※,2021/12/30 08:43:13,57,0,0
2021/12/30,260,柏増尾台店,0,0000-00-00 00:00:00,東医　中根　※,2021/12/30 05:04:47,79,0,0
2021/12/30,355,市川妙典店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,59,0,0
2021/12/30,399,所沢北中店,0,0000-00-00 00:00:00,春日部　須賀　※,2021/12/30 06:35:32,75,0,0
2021/12/30,453,アトレ新浦安店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,44,0,0
2021/12/30,572,ルミネ大宮店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,208,0,0
2021/12/30,578,石橋店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,60,0,0
2021/12/30,608,天川大島店,0,0000-00-00 00:00:00,トータルカーゴ　田中,2021/12/30 06:25:30,74,0,0
2021/12/30,626,木更津店,1,2021/12/30 08:40:32,愛寿物流　加門　※,2021/12/30 08:42:15,122,122,0
2021/12/30,641,氏家店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,62,0,0
2021/12/30,642,館山店,1,2021/12/30 08:16:10,愛寿物流　加門　※,2021/12/30 05:18:42,58,58,0
2021/12/30,655,沼田店,0,0000-00-00 00:00:00,トータルカーゴ　星野,2021/12/30 07:33:29,39,0,0
2021/12/30,666,成田店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,144,0,0
2021/12/30,668,今市店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,48,0,0
2021/12/30,677,真岡店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,121,0,0
2021/12/30,691,高崎下之城店,0,0000-00-00 00:00:00,トータルカーゴ　五十嵐,2021/12/30 07:06:11,98,0,0
2021/12/30,746,高萩店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,51,0,0
2021/12/30,748,千葉旭店,1,2021/12/30 07:58:14,愛寿物流　島根　※,2021/12/30 07:18:19,136,136,0
2021/12/30,832,東金店,1,2021/12/30 07:46:44,モトーズＯＰ　菅谷　※,2021/12/30 07:29:20,121,121,0
2021/12/30,834,館林店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,81,0,0
2021/12/30,841,前橋総社店,0,0000-00-00 00:00:00,トータルカーゴ　田中,2021/12/30 07:25:15,96,0,0
2021/12/30,852,伊勢崎店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,79,0,0
2021/12/30,866,西武飯能ペペ店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,74,0,0
2021/12/30,885,フレスポ八潮店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,81,0,0
2021/12/30,896,高崎問屋町店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,140,0,0
2021/12/30,911,シャポー船橋店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,103,0,0
2021/12/30,912,ペリエ稲毛店,0,0000-00-00 00:00:00,愛寿物流　畑山,2021/12/30 08:13:50,80,0,0
2021/12/30,918,シャポー市川店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,93,0,0
2021/12/30,1029,イトーヨーカドー宇都宮店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,135,0,0
2021/12/30,1045,那珂店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,118,0,0
2021/12/30,1046,渋川有馬店,0,0000-00-00 00:00:00,トータルカーゴ　星野,2021/12/30 06:35:33,101,0,0
2021/12/30,1050,宇都宮鶴田店,0,0000-00-00 00:00:00,東洋運輸　宮川,2021/12/30 08:56:08,118,0,0
2021/12/30,1054,北本店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,109,0,0
2021/12/30,1060,八街店,0,0000-00-00 00:00:00,愛寿物流　石塚　※,2021/12/30 06:05:49,67,0,0
2021/12/30,1064,エムズタウン幸手店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,89,0,0
2021/12/30,1073,野田店,0,0000-00-00 00:00:00,野村綜合商事　東,2021/12/30 07:32:07,90,0,0
2021/12/30,1076,太田店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,87,0,0
2021/12/30,1078,大田原店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,165,0,0
2021/12/30,1087,四街道店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,101,0,0
2021/12/30,1089,ＬＡＬＡガーデンつくば店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,134,0,0
2021/12/30,1108,マーケットシティ桐生店,1,2021/12/30 08:08:22,ＡＧＹＵ　大作　※,2021/12/30 05:23:40,123,123,0
2021/12/30,1113,ひたちなかニューポート店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,206,0,0
2021/12/30,1124,市川コルトンプラザ店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,164,0,0
2021/12/30,1147,水戸姫子店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,105,0,0
2021/12/30,1148,ベスタ狭山店,0,0000-00-00 00:00:00,春日部　栗原　※,2021/12/30 09:01:28,150,0,0
2021/12/30,1156,ららぽーと柏の葉店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,99,0,0
2021/12/30,1167,ウェルサイト石岡店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,112,0,0
2021/12/30,1176,イオンモール川口前川店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,162,0,0
2021/12/30,1205,佐野店,0,0000-00-00 00:00:00,北通　坂内,2021/12/30 06:36:53,105,0,0
2021/12/30,1211,アシコタウンあしかが店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,130,0,0
2021/12/30,1216,ララガーデン春日部店,1,2021/12/30 07:36:56,東医　諏訪　※,2021/12/30 06:40:32,120,120,0
2021/12/30,1218,宇都宮戸祭店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,70,0,0
2021/12/30,1237,ミーナ津田沼店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,138,0,0
2021/12/30,1238,アクロスガーデン筑西店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,179,0,0
2021/12/30,1239,本庄店,1,2021/12/30 09:20:07,栗田運送　平野,2021/12/30 07:41:27,94,94,0
2021/12/30,1240,ガーデン前橋店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,134,0,0
2021/12/30,1253,イオンモール北戸田店,0,0000-00-00 00:00:00,愛寿物流　谷川　※,2021/12/30 06:05:41,213,0,0
2021/12/30,1254,栃木店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,101,0,0
2021/12/30,1260,浦和コルソ店,0,0000-00-00 00:00:00,愛寿物流　副島　※,2021/12/30 07:50:05,131,0,0
2021/12/30,1261,イオンタウンおゆみ野店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,141,0,0
2021/12/30,1273,ララガーデン川口店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,106,0,0
2021/12/30,1279,イオンレイクタウンｍｏｒｉ店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,158,0,0
2021/12/30,1285,宇都宮今泉店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,91,0,0
2021/12/30,1288,新座店,0,0000-00-00 00:00:00,春日部　栗原　※,2021/12/30 06:45:53,140,0,0
2021/12/30,1295,ららぽーと新三郷店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,132,0,0
2021/12/30,1299,アクロスプラザ神栖店,1,2021/12/30 07:34:26,愛寿物流　高橋　※,2021/12/30 08:26:35,188,188,0
2021/12/30,1303,イオンモール土浦店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,223,0,0
2021/12/30,1323,大宮ステラタウン店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,180,0,0
2021/12/30,1324,古河店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,109,0,0
2021/12/30,1326,イオンモール与野店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,145,0,0
2021/12/30,1336,草加マルイ店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,96,0,0
2021/12/30,1340,草加花栗店,0,0000-00-00 00:00:00,ロジプランナー　駒場　※,2021/12/30 07:10:20,110,0,0
2021/12/30,1349,高崎モントレー店,0,0000-00-00 00:00:00,トータルカーゴ　井上,2021/12/30 07:24:59,71,0,0
2021/12/30,1351,ピオニウォーク東松山店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,216,0,0
2021/12/30,1361,モディ柏,1,2021/12/30 07:48:56,読売ＩＳロジテム　上野　※,2021/12/30 07:33:09,71,71,0
2021/12/30,1362,流山おおたかの森Ｓ・Ｃ店,0,0000-00-00 00:00:00,東医　中根　※,2021/12/30 07:56:47,75,0,0
2021/12/30,1365,イオンモール太田店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,142,0,0
2021/12/30,1368,そごう千葉オーロラモールジュンヌ店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,145,0,0
2021/12/30,1375,新所沢パルコ店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,68,0,0
2021/12/30,1387,ジョイフル新田店,0,0000-00-00 00:00:00,ＡＧＹＵ　大作　※,2021/12/30 06:12:35,59,0,0
2021/12/30,1400,東松戸店,0,0000-00-00 00:00:00,愛寿物流　駒場　※,2021/12/30 08:17:41,80,0,0
2021/12/30,1402,ジョイフル千葉ＮＴ店,0,0000-00-00 00:00:00,健翔運輸　小田,2021/12/30 08:39:40,176,0,0
2021/12/30,1441,アトレ松戸店,0,0000-00-00 00:00:00,愛寿物流　小野　※,2021/12/30 07:50:03,95,0,0
2021/12/30,1455,アリオ市原店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,171,0,0
2021/12/30,1463,アトレマルヒロ川越店,0,0000-00-00 00:00:00,ＡＧＹＵ　小川　※,2021/12/30 07:04:02,142,0,0
2021/12/30,1466,イオンモール浦和美園店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,198,0,0
2021/12/30,1467,アリオ鷲宮店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,153,0,0
2021/12/30,1468,イオンモール水戸内原店,0,0000-00-00 00:00:00,あかね運輸　森川 治清,2021/12/30 09:03:29,158,0,0
2021/12/30,1471,秩父店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,76,0,0
2021/12/30,1475,茂原店,1,2021/12/30 08:12:18,愛寿物流　高島　※,2021/12/30 06:37:20,157,157,0
2021/12/30,1481,おやまゆうえんハーヴェストウォーク店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,121,0,0
2021/12/30,1486,モラージュ菖蒲店,1,2021/12/30 08:22:27,ニルス　加藤　※,2021/12/30 04:52:38,154,154,0
2021/12/30,1495,イオンモール春日部店,1,2021/12/30 08:55:41,,0000-00-00 00:00:00,136,136,0
2021/12/30,1496,イオンモール高崎店,0,0000-00-00 00:00:00,トータルカーゴ　松久保,2021/12/30 08:00:08,138,0,0
2021/12/30,1515,ららぽーとＴＯＫＹＯ－ＢＡＹ店,0,0000-00-00 00:00:00,麻妃ライン　永富　※,2021/12/30 09:15:43,279,0,0
2021/12/30,1520,イオンモール幕張新都心店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,194,0,0
2021/12/30,1524,イオンタウン守谷店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,220,0,0
2021/12/30,1526,藤岡店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,96,0,0
2021/12/30,1542,川越店,0,0000-00-00 00:00:00,麻妃ライン　星野　※,2021/12/30 07:56:23,111,0,0
2021/12/30,1550,ワカバウォーク,1,2021/12/29 21:38:17,上高運輸　寺門　※,2021/12/30 08:33:59,120,0,0
2021/12/30,1557,流山店,0,0000-00-00 00:00:00,東医　中根　※,2021/12/30 06:58:45,77,0,0
2021/12/30,1558,ららぽーと富士見店,0,0000-00-00 00:00:00,藤総業　丸山　※,2021/12/30 08:41:21,241,0,0
2021/12/30,1563,東習志野店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,128,0,0
2021/12/30,1566,コクーンシティ店,0,0000-00-00 00:00:00,愛寿物流　佐藤,2021/12/30 08:31:51,209,0,0
2021/12/30,1571,富里インター店,0,0000-00-00 00:00:00,愛寿物流　石塚　※,2021/12/30 05:15:44,66,0,0
2021/12/30,1589,セブンパークアリオ柏店,1,2021/12/30 08:57:55,安立運輸　小原,2021/12/30 09:00:23,75,75,0
2021/12/30,1613,かわまち矢作モール,0,0000-00-00 00:00:00,愛寿物流　畑山,2021/12/30 06:59:12,63,0,0
2021/12/30,1614,ベイフロント蘇我店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,132,0,0
2021/12/30,1627,たつのこまち龍ヶ崎店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,159,0,0
2021/12/30,1635,グランエミオ所沢,0,0000-00-00 00:00:00,春日部　須賀　※,2021/12/30 08:43:24,155,0,0
2021/12/30,1642,富岡店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,89,0,0
2021/12/30,1648,テラスモール松戸店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,104,0,0
2021/12/30,1657,スマーク伊勢崎店,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,146,0,0
2021/12/30,1677,船橋東武,0,0000-00-00 00:00:00,東医　諏訪　※,2021/12/30 04:40:47,226,0,0
